netType_num,carrier_num,longitude,latitude,speed,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_weight_stretch,RTT_label
2,85,-12,5,-1,4,19,0,-8,4,360,50,91.45,0.000661819,0
2,85,-12,5,-1,4,19,0,-8,4,360,50,91.45,0.000661819,0
2,36,-12,3,-1,4,12,366,-12,4,352,41,49.00852273,0.003682603,0
2,6,-12,4,-1,4,0,22,11,2,357,249,437.1960784,0.001914461,1
2,6,-12,4,-1,4,10,70,12,4,355,256,350.9267606,0.003151593,1
2,6,-12,4,-1,4,10,70,12,4,355,256,350.9267606,0.003151593,1
2,6,-12,4,-1,4,0,22,11,2,357,249,437.1960784,0.001914461,1
2,70,-12,3,-1,4,3,0,-12,3,365,52,78.69589041,0.001143253,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,25,-8,3,-1,0,5,0,0,0,348,54.5,58.66954023,0.005645605,0
2,6,-12,4,-1,4,16,22,11,2,345,1213,1203.104348,0.000862852,1
2,25,-8,3,-1,0,5,0,0,0,348,54.5,58.66954023,0.005645605,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,36,-9,4,-1,4,21,207,-12,4,338,96,421.5769231,0.001112969,1
2,70,-7,4,-1,4,18,0,-8,4,430,55,81.9,0.000932823,0
2,36,-8,4,-1,4,5,0,-8,4,333,67,93.62462462,0.001032274,0
2,36,-8,4,-1,4,5,0,-8,4,333,67,93.62462462,0.001032274,0
2,6,-12,4,-1,4,20,22,-11,3,332,58,100.8584337,0.000453583,0
2,68,-10,4,-1,4,22,0,-10,4,331,33,37.90634441,0.004152399,0
2,36,-10,3,-1,4,17,0,-8,4,377,45,74.02122016,0.000877831,0
2,89,-12,3,-1,4,16,0,0,0,328,32,77.90853659,0.000811899,0
2,89,-12,3,-1,4,16,0,0,0,328,32,77.90853659,0.000811899,0
2,6,-12,4,-1,4,12,176,11,2,325,298,432.8923077,0.002129236,1
2,36,-9,4,-1,4,1,16,-12,3,323,96,121.8173375,0.000839491,0
2,68,-10,4,-1,4,1,46,-12,5,322,86,91.47204969,0.002759953,0
2,6,-12,4,-1,4,19,22,11,2,322,292,1013.819876,0.000894874,1
2,68,-10,4,-1,4,1,46,-12,5,322,86,91.47204969,0.002759953,0
2,68,-12,4,-1,4,16,0,-12,4,315,51,201.1015873,0.001716305,1
2,36,-8,4,-1,4,14,0,-8,4,318,53,175.2735849,0.001838677,1
2,6,-9,3,-1,4,3,0,0,0,316,83,90.16139241,0.003847382,0
2,6,-12,4,-1,4,9,8,12,2,316,185,238.7025316,0.005970257,1
2,6,-9,3,-1,4,3,0,0,0,316,83,90.16139241,0.003847382,0
2,6,-12,4,-1,4,3,22,11,2,312,280,769.2275641,0.001035032,1
2,89,-10,4,-1,4,1,0,0,0,106,39,62.5754717,0.001583641,0
2,36,-9,4,-1,4,21,0,-12,3,311,51,101.8810289,0.000947917,0
2,6,-12,4,-1,4,15,22,11,2,309,498,1214.019417,0.000842768,1
2,6,-12,4,-1,4,15,22,11,2,309,498,1214.019417,0.000842768,1
2,85,-8,4,-1,4,13,0,-8,4,310,62.5,82.10967742,0.001046466,0
2,6,-12,4,-1,1,2,0,-12,3,308,27.5,74.16558442,0.00037234,0
2,70,-7,4,-1,4,14,0,-7,4,307,40,42.96742671,0.005453154,0
2,6,-12,4,-1,4,0,88,-12,5,306,63,69.33333333,0.004488863,0
2,6,-12,4,-1,4,0,88,-12,5,306,63,69.33333333,0.004488863,0
2,96,-10,3,-1,4,18,0,14,4,304,72,95.11513158,0.001423671,0
2,70,-12,4,-1,4,15,0,-12,4,304,100.5,602.5986842,0.000847592,1
2,25,-7,4,-1,4,20,0,0,0,304,62,180.4111842,0.003675051,1
2,189,-9,4,-1,4,16,0,-8,4,301,45,106.4551495,0.000335143,0
2,68,-10,4,-1,4,4,46,-12,4,301,98,112.2259136,0.001368775,0
2,6,-12,4,-1,4,7,88,-7,4,301,146,191.1495017,0.005371247,1
2,31,-10,3,-1,4,23,210,-12,4,301,90,96.98671096,0.001288603,0
2,25,-8,3,-1,0,4,0,0,0,300,55,62.30333333,0.002989596,0
2,68,-10,4,-1,4,14,46,-12,5,299,85,83.94648829,0.002785563,0
2,332,-10,3,-1,4,3,0,0,0,297,114,165.1481481,0.000809515,0
2,332,-10,3,-1,4,3,0,0,0,297,114,165.1481481,0.000809515,0
2,6,-12,4,-1,4,7,70,12,4,293,253,351.0716724,0.003336947,1
2,89,-10,4,-1,4,22,0,0,0,292,38,53.23972603,0.002008705,0
2,70,-12,3,-1,4,18,0,-12,3,287,61,1803.512195,0.000141732,1
2,70,-12,3,-1,4,18,0,-12,3,287,61,1803.512195,0.000141732,1
2,36,-9,4,-1,4,12,0,-8,4,274,49,113.5510949,0.000757892,0
2,6,-12,4,-1,4,7,88,-12,5,286,71,78.61188811,0.003369982,0
2,25,-9,3,-1,4,13,0,0,0,286,50,87.21678322,0.000605521,0
2,36,-9,4,-1,4,14,98,-12,4,285,52,201.8280702,0.002098292,1
2,68,-12,4,-1,4,11,0,-12,4,285,105,236.2491228,0.00373053,1
2,68,-10,4,-1,4,3,46,-12,5,285,87,95.1754386,0.002714673,0
2,189,-9,4,-1,4,18,0,-8,4,285,170,363.0421053,0.002167517,1
2,6,-12,4,-1,4,0,70,12,4,278,255,322.6510791,0.003456888,1
2,6,-12,4,-1,4,22,70,12,4,279,259,307.4659498,0.00639077,1
2,6,-12,4,-1,4,22,70,12,4,279,259,307.4659498,0.00639077,1
2,6,-12,4,-1,4,1,22,11,2,277,257,570.6859206,0.001361368,1
2,6,-12,4,-1,4,14,22,-11,3,275,61,64.82545455,0.003793333,0
2,6,-12,4,-1,4,14,22,-11,3,275,61,64.82545455,0.003793333,0
2,36,-9,4,-1,4,4,16,-9,4,275,41,50.63272727,0.002264777,0
2,36,-9,4,-1,4,14,98,-12,4,285,52,201.8280702,0.002098292,1
2,25,-8,3,-1,0,4,0,0,0,300,55,62.30333333,0.002989596,0
2,36,-8,4,-1,4,19,384,-12,4,270,79,129.7333333,0.0007439,0
2,36,-8,4,-1,4,19,384,-12,4,270,79,129.7333333,0.0007439,0
2,36,-9,4,-1,4,4,98,-7,4,268,36,39.84701493,0.00606711,0
2,25,-9,3,-1,4,14,0,0,0,267,51,85.97003745,0.000960791,0
2,36,-9,4,-1,4,15,98,-12,4,267,43,161.4269663,0.000228185,0
2,25,-9,3,-1,4,14,0,0,0,267,51,85.97003745,0.000960791,0
2,25,-9,3,-1,4,14,0,0,0,267,51,85.97003745,0.000960791,0
2,25,-7,4,-1,4,17,0,0,0,261,64,122.6551724,0.000299324,0
2,6,-12,4,-1,4,11,198,-8,4,259,122,130.7567568,0.003172257,0
2,25,-7,4,-1,4,17,0,0,0,261,64,122.6551724,0.000299324,0
2,36,-9,4,-1,4,15,98,-12,4,267,43,161.4269663,0.000228185,0
2,68,-10,4,-1,4,14,46,-8,4,257,58,70.55252918,0.002832899,0
2,36,-9,4,-1,4,4,98,-7,4,268,36,39.84701493,0.00606711,0
2,6,-12,4,-1,4,22,70,12,4,279,259,307.4659498,0.00639077,1
2,36,-8,4,-1,4,6,0,-8,4,256,59,85.07421875,0.001116131,0
2,36,-9,4,-1,4,15,98,-7,4,256,41,169.9335938,0.001936603,1
2,36,-8,4,-1,4,6,0,-8,4,256,59,85.07421875,0.001116131,0
2,85,-12,5,-1,0,3,0,-8,4,255,124,159.7568627,0.000811419,0
2,85,-12,5,-1,0,3,0,-8,4,255,124,159.7568627,0.000811419,0
2,68,-10,4,-1,4,4,46,-12,5,253,85,83.63241107,0.003015808,0
2,68,-10,4,-1,4,4,46,-12,5,253,85,83.63241107,0.003015808,0
2,332,-7,4,-1,4,16,0,0,0,252,89,99.50396825,0.002165263,0
2,36,-10,4,-1,4,6,0,-8,4,252,50,66.09920635,0.001587849,0
2,68,-10,4,-1,4,4,46,-12,5,253,85,83.63241107,0.003015808,0
2,68,-10,4,-1,4,15,46,-8,4,250,58,62.924,0.002843855,0
2,332,-10,3,-1,4,16,0,0,0,250,67,73.864,0.00383003,0
2,68,-12,4,-1,4,8,0,-12,4,250,79,221.948,0.003517635,1
2,68,-12,4,-1,4,8,0,-12,4,250,79,221.948,0.003517635,1
2,36,-10,3,-1,4,20,0,-8,4,248,48,78.26209677,0.00125796,0
2,68,-12,3,-1,4,21,0,-12,4,247,77,345.3522267,0.000475215,1
2,47,-10,3,-1,1,17,0,0,0,247,43,46.7854251,0.003979674,0
2,47,-10,3,-1,1,17,0,0,0,247,43,46.7854251,0.003979674,0
2,36,-8,4,-1,4,7,0,-8,4,245,66,85.07346939,0.001616586,0
2,47,-10,3,-1,1,17,0,0,0,247,43,46.7854251,0.003979674,0
2,36,-9,4,-1,4,15,33,-8,4,244,47,73.05737705,0.001351568,0
2,36,-10,3,-1,4,23,0,-8,4,243,46,63.57201646,0.002314517,0
2,6,-12,4,-1,1,18,0,-12,3,242,38,68.52479339,0.001404706,0
2,36,-10,3,-1,4,23,0,-8,4,243,46,63.57201646,0.002314517,0
2,6,-12,4,-1,4,18,8,12,2,240,178,200.4958333,0.009503914,1
2,6,-12,4,-1,4,18,8,12,2,240,178,200.4958333,0.009503914,1
2,25,-9,3,-1,4,20,152,-8,4,240,88.5,141.8041667,0.000499754,0
2,31,-10,3,-1,4,23,210,-12,4,301,90,96.98671096,0.001288603,0
2,68,-12,4,-1,4,0,0,-12,4,240,42,162.3791667,0.000149378,0
2,68,-12,4,-1,4,0,0,-12,4,240,42,162.3791667,0.000149378,0
2,89,-10,4,-1,4,18,0,0,0,236,54.5,72.91101695,0.001737034,0
2,96,-10,3,-1,4,7,8,-12,4,237,87,125.9915612,0.000925776,0
2,89,-10,4,-1,4,18,0,0,0,236,54.5,72.91101695,0.001737034,0
2,89,-12,3,-1,4,3,0,0,0,235,28,44.59574468,0.001859354,0
2,89,-12,3,-1,4,3,0,0,0,235,28,44.59574468,0.001859354,0
