carrier_num,longitude,latitude,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_std,RTT_stretch_weight,RTT_label
68.0,-12.0,3.0,4.0,2.0,8.0,-12.0,4.0,16,81.5,93.4375,35.62648023240578,0.0033568426570924864,0
6.0,-12.0,4.0,4.0,18.0,194.0,-10.0,4.0,12,101.0,112.08333333333333,32.2941128105762,0.0037032287980066714,0
85.0,-12.0,4.0,4.0,7.0,201.0,-7.0,4.0,6,115.5,116.5,4.031128874149275,0.02966724515634362,0
96.0,-10.0,3.0,4.0,1.0,454.0,-12.0,4.0,15,82.0,83.533333333333331,11.383418740528798,0.010505849893794428,0
6.0,-12.0,4.0,4.0,6.0,88.0,-12.0,4.0,97,85.0,101.89690721649484,101.83516947995919,0.00981979020712286,1
68.0,-12.0,4.0,4.0,7.0,27.0,-12.0,4.0,9,72.0,68.111111111111114,13.891999651633585,0.008608731036941746,0
36.0,-8.0,4.0,4.0,18.0,37.0,-8.0,4.0,10,77.5,93.099999999999994,54.98990816504425,0.0021748079339805847,0
89.0,-9.0,4.0,4.0,15.0,9.0,-12.0,5.0,7,157.0,622.57142857142856,772.0721389579488,0.001295215757104875,1
6.0,-12.0,4.0,1.0,2.0,52.0,-8.0,4.0,19,102.0,179.68421052631578,217.72267551842882,0.004592998857922617,1
85.0,-12.0,4.0,4.0,7.0,201.0,0.0,5.0,13,133.0,137.84615384615384,14.206424082333337,0.008418197842969044,0
6.0,-12.0,4.0,4.0,1.0,467.0,-8.0,4.0,6,119.0,123.5,10.70436048222094,0.01117231512941247,0
70.0,-12.0,4.0,4.0,15.0,16.0,-9.0,4.0,18,708.0,1081.2222222222222,1053.6757120541592,0.0009490586036670452,1
68.0,-9.0,4.0,2.0,1.0,139.0,-8.0,3.0,12,59.5,95.583333333333329,107.97643132749954,0.009261280334103051,1
68.0,-10.0,4.0,4.0,17.0,0.0,-10.0,4.0,186,32.0,50.043010752688176,126.64996329979174,0.00789577804798025,1
6.0,-12.0,4.0,4.0,11.0,194.0,-12.0,3.0,19,82.0,83.473684210526315,9.869508711991012,0.012117369978193793,0
6.0,-12.0,4.0,4.0,23.0,17.0,-12.0,4.0,43,81.0,109.30232558139535,68.78870069589105,0.0017385484440956387,0
36.0,-9.0,4.0,4.0,0.0,58.0,-9.0,4.0,6,29.0,29.0,6.0553007081949835,0.01975004947390154,0
6.0,-12.0,4.0,4.0,5.0,70.0,-8.0,4.0,13,84.0,122.30769230769231,78.76194377351443,0.0015184044836437593,0
70.0,-12.0,4.0,4.0,21.0,16.0,1.0,5.0,5,44.0,46.799999999999997,8.084553172563094,0.014792714700927231,0
89.0,-12.0,4.0,1.0,0.0,8.0,-12.0,4.0,31,32.0,35.451612903225808,10.802743706674317,0.011070566127780436,0
6.0,-12.0,4.0,4.0,21.0,467.0,-1.0,5.0,36,249.0,278.77777777777777,83.72047111639193,0.011944509946793722,1
47.0,-12.0,4.0,1.0,13.0,963.0,1.0,5.0,10,186.0,185.59999999999999,4.223742416388576,0.23675686190518916,1
6.0,-12.0,4.0,4.0,0.0,52.0,-8.0,4.0,43,127.0,126.62790697674419,16.300981930494967,0.007336520528402956,0
89.0,-9.0,4.0,4.0,3.0,32.0,-12.0,5.0,5,130.0,124.8,11.070682002478437,0.010802630636434895,0
6.0,-12.0,4.0,4.0,6.0,70.0,-8.0,4.0,41,115.0,116.78048780487805,30.115640693768956,0.003971108892627548,0
6.0,-12.0,4.0,4.0,19.0,17.0,10.0,0.0,27,278.0,289.62962962962962,43.5134275982059,0.022981411835302785,1
47.0,-12.0,3.0,4.0,12.0,0.0,-0.0,-0.0,51,36.0,72.215686274509807,119.66559839910256,0.008356620560780145,1
6.0,-12.0,4.0,4.0,0.0,52.0,-10.0,3.0,8,121.0,135.75,21.649191670822262,0.005524108723531833,0
68.0,-12.0,3.0,4.0,1.0,179.0,-12.0,4.0,9,84.0,80.777777777777771,17.478734875256453,0.006842170753187723,0
6.0,-12.0,4.0,4.0,12.0,1458.0,-8.0,4.0,11,132.0,162.0,64.0908446163441,0.0018659839682578336,0
6.0,-12.0,4.0,4.0,12.0,22.0,-11.0,3.0,2493,58.0,68.204973926995592,51.92233338073013,0.0023032957261236294,0
85.0,-12.0,4.0,4.0,7.0,176.0,11.0,2.0,8,373.0,355.0,48.75961443653959,0.020508775788239574,1
36.0,-7.0,4.0,4.0,23.0,35.0,-7.0,4.0,24,49.5,49.083333333333336,14.65695701327151,0.008159435035383807,0
36.0,-8.0,4.0,4.0,6.0,517.0,-12.0,4.0,12,46.5,78.5,96.06117842291962,0.0012449617059628734,0
